CMIM	86.428571+-10.301575	 72.605209+-20.836224	 92.964908+-6.751476	 86.483294+-10.631623	 60.606218+-23.440349
MRMR	91.285714+-10.426832	 81.754673+-21.456657	 96.317682+-5.369942	 90.841159+-11.207919	 59.233309+-24.497172
ReliefF	84.380952+-7.701562	 68.009126+-13.547243	 91.497233+-8.128030	 83.651904+-7.703847	 51.849435+-24.573290
					
Madelon (600X500, 1.00)	Accuracy	 MCC	 AUC(ROC)	 BCR	 Average Precision
LMCM	53.500000+-4.617298	 6.515273+-9.462660	 51.175576+-4.782762	 53.236368+-4.712896	 13.760884+-5.975711
JMI	52.666667+-5.991893	 4.847400+-12.055331	 52.857441+-4.503923	 52.421791+-6.027482	 13.898725+-6.736357
CMIM	51.666667+-2.429563	 3.039698+-4.839863	 51.553467+-4.695763	 51.497217+-2.398539	 13.469177+-6.608394
MRMR	53.333333+-3.280837	 6.295055+-6.564184	 52.581554+-3.825681	 53.128841+-3.283907	 13.794007+-5.939269
ReliefF	52.166667+-5.190804	 4.050628+-9.953861	 49.463634+-4.568074	 51.998344+-4.958404	 13.874588+-5.396812
